frequency,raw,target
5810.49,-5.83,73.58
5868.60,-6.08,73.56
5927.28,-6.25,73.55
5986.56,-6.28,73.54
6046.42,-6.19,73.53
6106.89,-6.04,73.52
6167.96,-5.87,73.51
6229.64,-5.76,73.49
6291.93,-5.72,73.48
6354.85,-5.78,73.47
6418.40,-6.04,73.46
6482.58,-6.34,73.45
6547.41,-6.67,73.44
6612.88,-6.89,73.43
6679.01,-7.03,73.42
6745.80,-7.11,73.41
6813.26,-7.22,73.40
6881.39,-7.39,73.39
6950.21,-7.61,73.38
7019.71,-7.89,73.37
7089.91,-8.18,73.36
7160.81,-8.47,73.36
7232.41,-8.71,73.35
7304.74,-8.84,73.34
7377.79,-8.88,73.33
7451.56,-8.82,73.32
7526.08,-8.69,73.32
7601.34,-8.55,73.31
7677.35,-8.37,73.30
7754.13,-8.15,73.29
7831.67,-7.93,73.29
7909.98,-7.74,73.28
7989.08,-7.65,73.27
8068.98,-7.58,73.27
8149.67,-7.49,73.26
8231.16,-7.36,73.25
8313.47,-7.19,73.25
8396.61,-7.05,73.24
8480.57,-6.95,73.24
8565.38,-6.86,73.23
8651.03,-6.77,73.22
8737.54,-6.69,73.22
8824.92,-6.58,73.21
8913.17,-6.37,73.21
9002.30,-6.08,73.20
9092.32,-5.61,73.20
9183.25,-5.23,73.19
9275.08,-4.94,73.19
9367.83,-4.80,73.18
9461.51,-4.59,73.18
9556.12,-4.33,73.17
9651.68,-3.98,73.16
9748.20,-3.75,73.16
9845.68,-3.69,73.15
9944.14,-3.87,73.15
10043.58,-4.38,73.14
10144.02,-4.96,73.13
10245.46,-5.59,73.13
10347.91,-6.25,73.12
10451.39,-7.01,73.11
10555.91,-7.85,73.11
10661.46,-8.82,73.10
10768.08,-9.66,73.09
10875.76,-10.38,73.08
10984.52,-10.88,73.08
11094.36,-11.26,73.07
11205.31,-11.53,73.06
11317.36,-11.66,73.05
11430.53,-11.47,73.04
11544.84,-11.10,73.03
11660.29,-10.57,73.02
11776.89,-10.03,73.01
11894.66,-9.67,73.00
12013.60,-9.51,72.98
12133.74,-9.80,72.97
12255.08,-10.35,72.96
12377.63,-11.06,72.95
12501.41,-11.84,72.93
12626.42,-12.46,72.92
12752.68,-12.96,72.91
12880.21,-13.31,72.89
13009.01,-13.51,72.88
13139.10,-13.65,72.86
13270.49,-13.73,72.85
13403.20,-13.86,72.83
13537.23,-14.00,72.82
13672.60,-14.16,72.80
13809.33,-14.18,72.78
13947.42,-14.08,72.77
14086.90,-13.88,72.75
14227.77,-13.57,72.73
14370.04,-13.34,72.71
14513.74,-13.19,72.70
14658.88,-13.16,72.68
14805.47,-13.12,72.66
14953.52,-13.06,72.64
15103.06,-12.96,72.63
15254.09,-13.02,72.61
15406.63,-13.25,72.59
15560.70,-13.70,72.57
15716.30,-14.40,72.55
15873.47,-15.04,72.53
16032.20,-15.59,72.52
16192.52,-15.82,72.50
16354.45,-15.97,72.48
16517.99,-16.08,72.46
16683.17,-16.25,72.44
16850.01,-16.48,72.43
17018.51,-16.73,72.41
17188.69,-16.97,72.39
17360.58,-17.17,72.38
17534.18,-17.33,72.36
17709.53,-17.48,72.35
17886.62,-17.67,72.33
18065.49,-17.94,72.32
18246.14,-18.32,72.30
18428.60,-18.99,72.29
18612.89,-19.79,72.28
18799.02,-20.74,72.26
18987.01,-21.92,72.25
19176.88,-23.22,72.24
19368.65,-24.62,72.23
19562.33,-26.09,72.22
19757.96,-27.51,72.21
19955.54,-28.92,72.21
